                nu      tot_opac
0     2.992900e+07  1.790000e-16
1     2.983000e+07  1.770000e-16
2     2.973000e+07  1.760000e-16
3     2.963200e+07  1.750000e-16
4     2.953300e+07  1.740000e-16
5     2.943500e+07  1.730000e-16
6     2.933700e+07  1.710000e-16
7     2.923900e+07  1.700000e-16
8     2.914200e+07  1.690000e-16
9     2.904500e+07  1.680000e-16
10    2.894800e+07  1.670000e-16
11    2.885200e+07  1.660000e-16
12    2.875600e+07  1.650000e-16
13    2.866000e+07  1.630000e-16
14    2.856500e+07  1.620000e-16
15    2.847000e+07  1.610000e-16
16    2.837500e+07  1.600000e-16
17    2.828100e+07  1.590000e-16
18    2.818700e+07  1.580000e-16
19    2.809300e+07  1.570000e-16
20    2.799900e+07  1.560000e-16
21    2.790600e+07  1.550000e-16
22    2.781300e+07  1.540000e-16
23    2.772100e+07  1.520000e-16
24    2.762800e+07  1.510000e-16
25    2.753700e+07  1.500000e-16
26    2.744500e+07  1.490000e-16
27    2.735400e+07  1.480000e-16
28    2.726300e+07  1.470000e-16
29    2.717200e+07  1.460000e-16
30    2.708100e+07  1.450000e-16
31    2.699100e+07  1.440000e-16
32    2.690200e+07  1.430000e-16
33    2.681200e+07  1.420000e-16
34    2.672300e+07  1.410000e-16
35    2.663400e+07  1.400000e-16
36    2.654500e+07  1.390000e-16
37    2.645700e+07  1.380000e-16
38    2.636900e+07  1.380000e-16
39    2.628100e+07  1.370000e-16
40    2.619400e+07  1.360000e-16
41    2.610700e+07  1.350000e-16
42    2.602000e+07  1.340000e-16
43    2.593300e+07  1.330000e-16
44    2.584700e+07  1.320000e-16
45    2.576100e+07  1.310000e-16
46    2.567500e+07  1.300000e-16
47    2.559000e+07  1.290000e-16
48    2.550400e+07  1.280000e-16
49    2.542000e+07  1.270000e-16
50    2.533500e+07  1.270000e-16
51    2.525100e+07  1.260000e-16
52    2.516700e+07  1.250000e-16
53    2.508300e+07  1.240000e-16
54    2.500000e+07  1.230000e-16
55    2.491600e+07  1.220000e-16
56    2.483300e+07  1.210000e-16
57    2.475100e+07  1.210000e-16
58    2.466800e+07  1.200000e-16
59    2.458600e+07  1.190000e-16
60    2.450500e+07  1.180000e-16
61    2.442300e+07  1.170000e-16
62    2.434200e+07  1.170000e-16
63    2.426100e+07  1.160000e-16
64    2.418000e+07  1.150000e-16
65    2.410000e+07  1.140000e-16
66    2.401900e+07  1.130000e-16
67    2.393900e+07  1.130000e-16
68    2.386000e+07  1.120000e-16
69    2.378000e+07  1.110000e-16
70    2.370100e+07  1.100000e-16
71    2.362200e+07  1.100000e-16
72    2.354400e+07  1.090000e-16
73    2.346500e+07  1.080000e-16
74    2.338700e+07  1.070000e-16
75    2.331000e+07  1.070000e-16
76    2.323200e+07  1.060000e-16
77    2.315500e+07  1.050000e-16
78    2.307800e+07  1.040000e-16
79    2.300100e+07  1.040000e-16
80    2.292400e+07  1.030000e-16
81    2.284800e+07  1.020000e-16
82    2.277200e+07  1.020000e-16
